FID,LICENSEE,CALLSIGN,LOCNUM,LAT_DMS,LATDIR,LON_DMS,LONDIR,LOCADD,LOCCITY,LOCCOUNTY,LOCSTATE,NEPA,QZONE,TOWREG,SUPSTRUC,ALLSTRUC,STRUCTYPE,LIC_ID,LONG,LAT
209,"NEW CINGULAR WIRELESS PCS, LLC",KNKA366,20,"36,36,28",N,"119,27,41",W,Reedly 0.3 mile North of Manning Avenue 0.1 mile West of Reed Avenue,Reedly,FRESNO,CA,N, , ,162.000000000000000,0.000000000000000, ,11940,-119.461412568000000,36.607805085300001
210,"NEW CINGULAR WIRELESS PCS, LLC",KNKA366,21,"36,32,13",N,"119,34,50",W,Kingsburg 13598 Golden State Blvd.,Kingsburg,FRESNO,CA,N, , ,162.000000000000000,0.000000000000000, ,11940,-119.580612579999990,36.537005069700001
211,"NEW CINGULAR WIRELESS PCS, LLC",KNKA366,22,"36,51,45",N,"120,27,35",W,FIREBAUGH 0.3 MILES SOUTHEAST FROM FIREBAUGH AIRPORT,FIREBAUGH,FRESNO,CA,N, , ,41.100000000000001,0.000000000000000, ,11940,-120.459712757000010,36.862505042599999
212,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,1,"38,22,18",N,"121,22,39",W,8780 KAMMERER ROAD,ELK GROVE,SACRAMENTO,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-121.377513073000000,38.371705114299999
213,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,2,"38,55,18",N,"121,3,14",W,13358 LINCOLN WAY,AUBURN,PLACER,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-121.053913089000010,38.921705185699999
214,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,3,"38,42,12",N,"121,45,52",W,824 N. EAST STREET,WOODLAND,YOLO,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-121.764413174000000,38.703305113200003
215,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,4,"39,6,17",N,"120,57,23",W,On Beacon Mountain 0.2 miles NW of,Colfax,PLACER,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-120.956413097000000,39.104705209000002
216,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,5,"39,14,29",N,"120,8,24",W,"ON MT PLUTO, 6.5 MI SE OF",TRUCKEE,PLACER,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-120.140012982000000,39.241405284099997
217,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,6,"38,47,19",N,"122,7,15",W,"ON BALD MTN., 2.6 MI NE OF",TANCRED,YOLO,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-122.120813240000000,38.788605093599998
218,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,7,"38,31,17",N,"121,32,17",W,1.8 MILES EAST OF INTERSECTION OF BEVAN RD. AND JEFFERSON BLVD.,SACRAMENTI,YOLO,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-121.538113116000010,38.521405115100002
219,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,8,"38,32,47",N,"121,43,52",W,"0.1 MILES NORTH OF HWY 80, IN THE EAST SIDE OF",DAVIS,YOLO,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-121.731113149000000,38.546405102800001
220,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,9,"38,38,36",N,"121,5,30",W,U.S 50 D 14751 WHITE ROCK ROAD,FOLSOM,SACRAMENTO,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-121.091713060999990,38.643305158899999
221,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,10,"38,17,47",N,"121,19,26",W,9911 Twin Cities Road,Galt,SACRAMENTO,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-121.323913055999990,38.296405111399999
222,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,11,"38,28,29",N,"121,30,20",W,"FREEPORT WATER TANK, 7788 FREEPORT BLVD.",SACRAMENTO,SACRAMENTO,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-121.505613104999990,38.474705113200002
223,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,12,"39,14,49",N,"120,44,58",W,BLUE  CANYON"" OFF DRUM FORBAY ROAD 0.3 MILE NORTH OF I-80,BLUE CANYON,PLACER,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-120.749413081000000,39.246905237400000
224,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,13,"38,29,38",N,"121,3,29",W,RANCHO MURIETTA,RANCHO MURIETTA,SACRAMENTO,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-121.058113037000000,38.493905148800003
225,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,14,"39,20,20",N,"120,32,7",W,SIGNAL PEAK ON SIGNAL PEAK 2.0 MILES NORTH OF I-80,CISCO GROVE,SIERRA,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-120.535313059000000,39.338905261999997
226,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,15,"39,7,58",N,"121,6,0",W,WOLF MOUNTAIN 17800 WOLF MTN ROAD,GRASS VALLEY,NEVADA,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-121.100013123000000,39.132805200100002
227,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,16,"39,19,18",N,"120,20,11",W,DONNER BEACON 1.1 MILES EAST OF,NORDEN,NEVADA,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-120.336413024000000,39.321705275699998
228,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,17,"38,45,35",N,"121,16,10",W,ROSEVILLE 451 BERRY STREET,ROSEVILLE,PLACER,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-121.269413103000010,38.759705155900001
229,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,18,"39,0,45",N,"120,59,29",W,APPLEGATE 410 CROTHER,APPLEGATE,PLACER,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-120.991413091000000,39.012505198500001
230,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,19,"38,32,24",N,"121,59,19",W,WINTERS INTERSECTION OF ROAD 88 AND ROAD 32A; APPROXIMATELY 2 MILES WE,EL RIO VILLA,YOLO,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-121.988613188000000,38.540005082500002
231,"NEW CINGULAR WIRELESS PCS, LLC",KNKA323,20,"38,42,25",N,"121,28,36",W,RIO LINDA 606 W. Delano Street,Elverta,SACRAMENTO,CA,N, , ,0.000000000000000,0.000000000000000, ,11942,-121.476713129000000,38.706905135100001
232,WWC License L.L.C.,KNKN269,1,"32,47,57",N,"115,34,40",W,496 W. EUCLID,EL CENTRO,IMPERIAL,CA,N, ,1012022,61.000000000000000,65.500000000000000,TOWER,11950,-115.577811568000000,32.799204880399998
233,WWC License L.L.C.,KNKN269,2,"32,40,18",N,"115,29,53",W,640 Imperial Avenue,CALEXICO,IMPERIAL,CA,N, ,1012023,30.500000000000000,36.600000000000001,TOWER,11950,-115.498111544000000,32.671704868200003
234,WWC License L.L.C.,KNKN269,3,"33,3,11",N,"114,49,38",W,"1.0 miles S of Julian Wash, Township 13 S, Range 20 E",Holtville,IMPERIAL,CA,N, , ,18.300000000000001,18.300000000000001,TOWER,11950,-114.827211449000000,33.053104950500000
235,WWC License L.L.C.,KNKN269,4,"32,41,58",N,"115,16,52",W,"NW 1/4 SE 1/4 Section 1, Township 17 S, Range 16 E",BONDS CORNER,IMPERIAL,CA,N, ,1012025,61.000000000000000,64.900000000000006,TOWER,11950,-115.281111507000010,32.699404882600000
236,WWC License L.L.C.,KNKN269,5,"32,48,43",N,"114,53,16",W,"NW 1/4 SE 1/4 Section 32, Township 15 S, Range 19 E",OGILBY,IMPERIAL,CA,N, ,1012021,77.099999999999994,80.200000000000003,TOWER,11950,-114.887811442000000,32.811904916700001
237,WWC License L.L.C.,KNKN269,6,"33,17,8",N,"115,59,23",W,2195 Sunshine Avenue,Salton,IMPERIAL,CA,N, , ,7.300000000000000,7.300000000000000,BANT,11950,-115.989711678000010,33.285604919999997
238,WWC License L.L.C.,KNKN269,7,"33,24,2",N,"115,39,39",W,10249 Coachella Canal Road,Niland,IMPERIAL,CA,N, , ,31.699999999999999,31.699999999999999,MAST,11950,-115.660811627000000,33.400604951900000
239,WWC License L.L.C.,KNKN269,8,"32,57,29",N,"115,50,22",W,On top of Superstition Mt.,Westmoreland,IMPERIAL,CA,N, , ,7.600000000000000,7.600000000000000,BANT,11950,-115.839411627000000,32.958104887499999
240,WWC License L.L.C.,KNKN269,9,"32,37,59",N,"116,6,6",W,On top of Hendrix Peak,Jacumba,IMPERIAL,CA,N, , ,39.600000000000001,42.700000000000003,TOWER,11950,-116.101711651000000,32.633104833700003
241,WWC License L.L.C.,KNKN269,10,"32,58,48",N,"115,32,20",W,215 E Street,BRAWLEY,IMPERIAL,CA,N, ,1204175,42.700000000000003,48.799999999999997,TOWER,11950,-115.538911574000000,32.980004905000001
242,WWC License L.L.C.,KNKN269,12,"33,10,39",N,"115,34,44",W,480 West Sinclair Road,CALIPATRIA,IMPERIAL,CA,N, , ,54.899999999999999,56.700000000000003,MAST,11950,-115.578911594999990,33.177504927999998
243,WWC License L.L.C.,KNKN269,13,"32,46,56",N,"115,31,57",W,698 ROSS AVE,El Centro,IMPERIAL,CA,N, ,1046866,86.599999999999994,89.000000000000000,TOWER,11950,-115.532511559000000,32.782204880599998
244,WWC License L.L.C.,KNKN269,14,"33,3,20",N,"114,49,46",W,Chocolate Mtn: 4210 Black Mountain Rd.,Palo Verde,IMPERIAL,CA,N, , ,48.600000000000001,52.200000000000003,MAST,11950,-114.829411449000010,33.055604950599999
245,WWC License L.L.C.,KNKN269,15,"32,58,52",N,"115,18,57",W,Glamis: 4560 Green Rd.,Brawley,IMPERIAL,CA,N, , ,59.500000000000000,59.500000000000000,MAST,11950,-115.315811533000000,32.981104916800000
246,WWC License L.L.C.,KNKN269,16,"33,14,34",N,"115,30,5",W,Niland: BEAL RD 1 MI E,NILAND,IMPERIAL,CA,N, ,1016231,56.000000000000000,60.000000000000000,TOWER,11950,-115.501411586000000,33.242804939899997
247,WWC License L.L.C.,KNKN269,17,"33,24,26",N,"116,2,43",W,North Salton: 3842 Scott Drive,Thermal,IMPERIAL,CA,N, , ,60.100000000000001,60.100000000000001,TOWER,11950,-116.045311696000000,33.407204932500001
248,WWC License L.L.C.,KNKN269,18,"33,16,54",N,"115,55,42",W,Salton Sea: 2119 Mars Avenue,Salton Sea,IMPERIAL,CA,N, , ,60.700000000000003,60.700000000000003,TOWER,11950,-115.928311666000000,33.281704922999999
249,CAGAL CELLULAR COMMUNICATIONS CORPORATION,KNKA697,1,"38,37,7",N,"122,50,38",W,"WESTERN EDGE OF FITCH MOUNTAIN, 2.0 MI NW OF RTE U.S. 101 AND 1.0 MI E",HEALDSBURG,SONOMA,CA,N, , ,0.000000000000000,0.000000000000000, ,12014,-122.843913329000000,38.618605024200001
250,CAGAL CELLULAR COMMUNICATIONS CORPORATION,KNKA697,2,"38,15,44",N,"122,32,18",W,"HILLTOP SITE 0.25 MI SW OF RODGERS CREE, 6 MI ENE OF PETALUMA & 6 MI W",Petaluma,SONOMA,CA,N, , ,0.000000000000000,0.000000000000000, ,12014,-122.538313239000000,38.262205018499998
251,CAGAL CELLULAR COMMUNICATIONS CORPORATION,KNKA697,3,"38,46,27",N,"122,56,47",W,25976 RIVER ROAD,CLOVERDALE,SONOMA,CA,N, , ,0.000000000000000,0.000000000000000, ,12014,-122.946413363999990,38.774205029199997
252,CAGAL CELLULAR COMMUNICATIONS CORPORATION,KNKA697,4,"38,28,54",N,"122,37,23",W,BLUMBER PROOPERTY 1550 LOS ALMOS ROAD,SANTA ROSA,SONOMA,CA,N, , ,0.000000000000000,0.000000000000000, ,12014,-122.623113278000010,38.481705030400001
253,CAGAL CELLULAR COMMUNICATIONS CORPORATION,KNKA697,5,"38,45,52",N,"122,50,43",W,THE GEYSERS TOP OF GEYSER PEAK,GEYSERS,SONOMA,CA,N, , ,9.100000000000000,0.000000000000000, ,12014,-122.845313347000000,38.764405035700001
254,CAGAL CELLULAR COMMUNICATIONS CORPORATION,KNKA697,6,"38,34,39",N,"123,9,34",W,MOHRHARDT RIDGE TOP OF MOHRHARDT RIDGE, ,SONOMA,CA,N, , ,45.399999999999999,0.000000000000000, ,12014,-123.159413370000000,38.577504997100000
255,CAGAL CELLULAR COMMUNICATIONS CORPORATION,KNKA697,7,"38,10,56",N,"122,35,40",W,Approx. 4.1 miles (6.6 Km) SSE of,Petaluma,SONOMA,CA,N, , ,5.500000000000000,0.000000000000000, ,12014,-122.594413238000000,38.182205007500002
256,CAGAL CELLULAR COMMUNICATIONS CORPORATION,KNKA697,8,"38,9,37",N,"122,27,41",W,"SEARS POINT RACEWAY, JUNC. OF HWYS 37 & 121",SONOMA VALLEY,SONOMA,CA,N, , ,7.600000000000000,7.600000000000000,TOWER,12014,-122.461413216000000,38.160305015500001
257,GTE MOBILNET OF CALIFORNIA LIMITED PARTNERSHIP,KNKA431,12,"37,7,18",N,"122,9,22",W,12500 Empire Grade Road,Santa Cruz,SANTA CRUZ,CA,N, , ,24.100000000000001,25.000000000000000,POLE,12015,-122.156113051000010,37.121704949600002
258,GTE MOBILNET OF CALIFORNIA LIMITED PARTNERSHIP,KNKA431,11,"36,54,46",N,"121,38,25",W,2350 RIVERSIDE DR HWY 129 ON N SIDE OF ROCHE PROPERTY,Watsonville,SANTA CRUZ,CA,N, ,1019024,11.300000000000001,13.400000000000000,TOWER,12015,-121.640312949000010,36.912804966400003
259,GTE MOBILNET OF CALIFORNIA LIMITED PARTNERSHIP,KNKA431,1,"37,0,9",N,"122,3,8",W,1156 HIGH STREET,Santa Cruz,SANTA CRUZ,CA,N, , ,30.500000000000000,33.500000000000000,POLE,12015,-122.052213022000000,37.002504946199998
260,GTE MOBILNET OF CALIFORNIA LIMITED PARTNERSHIP,KNKA431,2,"36,56,0",N,"121,47,6",W,370 Airport Blvd.,Watsonville,SANTA CRUZ,CA,N, ,1004475,30.000000000000000,36.600000000000001,TOWER,12015,-121.785012974000000,36.933304958599997
261,GTE MOBILNET OF CALIFORNIA LIMITED PARTNERSHIP,KNKA431,3,"37,8,2",N,"121,58,51",W,22970 SANTA CRUZ HWY,LOS GATOS,SANTA CRUZ,CA,N, , ,24.399999999999999,24.899999999999999,POLE,12015,-121.980813025000000,37.133904963100001
262,GTE MOBILNET OF CALIFORNIA LIMITED PARTNERSHIP,KNKA431,9,"37,2,56",N,"122,0,19",W,233 Southwood Dr.,SCOTT VALLEY,SANTA CRUZ,CA,N, , ,34.100000000000001,34.100000000000001,POLE,12015,-122.005313020000000,37.048904953499999
263,"NEW CINGULAR WIRELESS PCS, LLC",KNKA587,1,"36,22,47",N,"121,13,0",W,GREENFIELD OFF TOPO ROAD,GREENFIELD,MONTEREY,CA,N, , ,0.000000000000000,0.000000000000000, ,12030,-121.216712828000000,36.379704946399997
264,"NEW CINGULAR WIRELESS PCS, LLC",KNKA587,2,"36,39,13",N,"121,37,33",W,915 HARKIN ROAD,SALINAS,MONTEREY,CA,N, , ,0.000000000000000,0.000000000000000, ,12030,-121.625812919000000,36.653604944100003
265,"NEW CINGULAR WIRELESS PCS, LLC",KNKA587,3,"35,57,5",N,"121,0,3",W,NEAR LOOKOUT TOWER ON WILLIAMS HILL,HUNTER LIGGET,MONTEREY,CA,N, , ,0.000000000000000,0.000000000000000, ,12030,-121.000812751000000,35.951404920599998
266,"NEW CINGULAR WIRELESS PCS, LLC",KNKA587,4,"36,48,48",N,"121,40,45",W,PRUNDALE CELL SITE:   1.5 MILES (2.4 KM)  W OF HIGHWAY 101 & 2.2 MILES,PRUNEDALE,MONTEREY,CA,N, , ,42.399999999999999,0.000000000000000, ,12030,-121.679212944000000,36.813304955200003
267,"NEW CINGULAR WIRELESS PCS, LLC",KNKA587,5,"36,34,57",N,"121,55,45",W,"1.2 miles NW of Hwy. 1, 1.9 mile NE of",Peeble Beach,MONTEREY,CA,N, , ,0.000000000000000,0.000000000000000, ,12030,-121.929212959000000,36.582504917300000
268,"NEW CINGULAR WIRELESS PCS, LLC",KNKA587,6,"35,52,57",N,"120,49,18",W,BRADLEY ATOP  MT. SEMAS,BRADLEY,MONTEREY,CA,N, , ,0.000000000000000,0.000000000000000, ,12030,-120.821712715999990,35.882504924999999
269,"NEW CINGULAR WIRELESS PCS, LLC",KNKA587,7,"36,13,42",N,"121,46,3",W,"BIG SUR ON RT 1, 2.8 MILES SOUTH OF",PFEIFFER POINT,MONTEREY,CA,N, , ,0.000000000000000,0.000000000000000, ,12030,-121.767512898000010,36.228304895900003
270,"NEW CINGULAR WIRELESS PCS, LLC",KNKA587,8,"36,22,6",N,"120,38,37",W,Diablo 23 miles NW of,Coalinga,SAN BENITO,CA,N, , ,0.000000000000000,0.000000000000000, ,12030,-120.643612735999990,36.368304983199998
271,"NEW CINGULAR WIRELESS PCS, LLC",KNKA587,9,"36,30,10",N,"121,26,14",W,GONZALES SILVA PACKING PLANT GONZALES-RIVER ROAD,GONZALES,MONTEREY,CA,N, , ,0.000000000000000,0.000000000000000, ,12030,-121.437212875000000,36.502804943299999
272,"NEW CINGULAR WIRELESS PCS, LLC",KNKA587,10,"35,55,17",N,"120,32,4",W,"NORTH CHOLAME THE EPISCOPAL DIOCESS, 13 MI. MARKET VINYARD CANYON ROAD",PARKFIELD,MONTEREY,CA,N, , ,0.000000000000000,0.000000000000000, ,12030,-120.534412675000000,35.921404947399999
273,"NEW CINGULAR WIRELESS PCS, LLC",KNKA587,11,"36,10,59",N,"120,45,8",W,"PEACHTREE, HWY 198 AND PEACHTREE ROAD",KING,MONTEREY,CA,N, , ,0.000000000000000,0.000000000000000, ,12030,-120.752212735000000,36.183104958700000
274,"NEW CINGULAR WIRELESS PCS, LLC",KNKA757,1,"38,25,33",N,"122,19,36",W,6275 SILVERADO TRAIL,YOUNTVILLE,NAPA,CA,N, , ,0.000000000000000,0.000000000000000, ,12033,-122.326713227000000,38.425805048100003
275,"NEW CINGULAR WIRELESS PCS, LLC",KNKA757,2,"38,39,22",N,"122,37,1",W,"MT. ST HELENA, 5.7 MILES (9.1 KM) NNW OF",CALISTOGA,NAPA,CA,N, , ,24.000000000000000,24.000000000000000,TOWER,12033,-122.616913299000000,38.656105044999997
276,"NEW CINGULAR WIRELESS PCS, LLC",KNKA757,3,"38,17,56",N,"121,59,58",W,TOP OF CEMENT HILL 2.6 MILES S OF,VACAVILLE,SOLANO,CA,N, , ,0.000000000000000,0.000000000000000, ,12033,-121.999413161000010,38.298905061799999
277,"NEW CINGULAR WIRELESS PCS, LLC",KNKA757,4,"38,17,37",N,"122,19,7",W,1200 THOMPSON AVENUE,NAPA,NAPA,CA,N, , ,0.000000000000000,0.000000000000000, ,12033,-122.318613209000010,38.293605037799999
278,"NEW CINGULAR WIRELESS PCS, LLC",KNKA757,5,"38,25,34",N,"121,50,30",W,1.0 MILES WEST OF ROUTE 113,DIXON,SOLANO,CA,N, , ,0.000000000000000,0.000000000000000, ,12033,-121.841713152000000,38.426105083899998
279,"NEW CINGULAR WIRELESS PCS, LLC",KNKA757,6,"38,6,17",N,"122,15,30",W,DOWNTOWN VALLEJO,VALLEJO,SOLANO,CA,N, , ,70.700000000000003,0.000000000000000, ,12033,-122.258313177999990,38.104705025900003
280,"NEW CINGULAR WIRELESS PCS, LLC",KNKA757,7,"38,3,14",N,"122,8,0",W,"ON ROUTE 21, 0.5 MILE (0.8 KM) N OF INTERSECTION OF ROUTE 21 & ROUTE 6",BENICIA,SOLANO,CA,N, , ,18.899999999999999,0.000000000000000, ,12033,-122.133313153000000,38.053905031399999
281,"NEW CINGULAR WIRELESS PCS, LLC",KNKA757,8,"38,3,14",N,"122,8,0",W,ON ROUTE 21 0.5 MILES NORTH OF INTERSECTION OF RT. 21 AND ROUTE 680,BENICIA,SOLANO,CA,N, , ,0.000000000000000,0.000000000000000, ,12033,-122.133313153000000,38.053905031399999
282,"NEW CINGULAR WIRELESS PCS, LLC",KNKA757,9,"38,20,13",N,"122,0,12",W,390 BUTCHER ROAD,VACAVILLE,SOLANO,CA,N, , ,0.000000000000000,0.000000000000000, ,12033,-122.003313167000000,38.336905064699998
283,"NEW CINGULAR WIRELESS PCS, LLC",KNKA757,10,"38,9,54",N,"121,43,35",W,RIO VISTA 0.4 MILE NE OF JUNCTION OF EMIGH RD & CHURCH ROAD,RIO VISTA,SOLANO,CA,N, , ,0.000000000000000,0.000000000000000, ,12033,-121.726413103000000,38.165005070200003
284,"NEW CINGULAR WIRELESS PCS, LLC",KNKA757,11,"38,8,10",N,"122,13,35",W,East Vallejo Solano County Fairground,Vallejo,NAPA,CA,N, , ,0.000000000000000,0.000000000000000, ,12033,-122.226413177000000,38.136105031200003
285,"NEW CINGULAR WIRELESS PCS, LLC",KNKA757,12,"38,39,48",N,"122,11,23",W,LAKE BERRYESSA TOP OF,BERRYESSA PEAK,NAPA,CA,N, , ,15.199999999999999,15.199999999999999,TOWER,12033,-122.189713235000000,38.663305077499999
286,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,1,"34,26,56",N,"119,46,28",W,GOLETA SANITARY LAND FILL OFF GOLTON RD. AT THE END OF SANITARY FILL R,SANTA BARBARA,SANTA BARBARA,CA,N, ,1060873,15.000000000000000,15.000000000000000,POLE,12050,-119.774412419000000,34.448904845000001
287,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,2,"34,28,8",N,"120,5,2",W,355 REFUGIO ROAD,GOLETA,SANTA BARBARA,CA,N, ,1018723,12.000000000000000,12.000000000000000,TOWER,12050,-120.083912470000000,34.468904829099998
288,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,3,"34,44,19",N,"120,26,44",W,HARRIS GRADE ROAD,LOMPOC,SANTA BARBARA,CA,N, , ,32.000000000000000,0.000000000000000, ,12050,-120.445612551000000,34.738604835499999
289,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,4,"34,50,4",N,"120,23,0",W,ON SUMMIT OF MT. SOLOMON,ORCUTT,SANTA BARBARA,CA,N, , ,0.000000000000000,0.000000000000000, ,12050,-120.383312549000000,34.834404849300000
290,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,5,"34,31,37",N,"119,58,45",W,LOS PADRES NATL FOREST,SANTA BARBARA,SANTA BARBARA,CA,N, ,1019137,30.399999999999999,33.500000000000000,TOWER,12050,-119.979212458000010,34.526904841600000
291,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,6,"34,25,25",N,"119,36,32",W,2111 ORTEGA HILL ROAD,SUMMERLAND,SANTA BARBARA,CA,N, , ,23.000000000000000,0.000000000000000, ,12050,-119.608912389000000,34.423604852300002
292,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,7,"34,31,39",N,"120,11,46",W,3000 HIGHWAY 101,BUELTON,SANTA BARBARA,CA,N, ,1018266,12.000000000000000,12.000000000000000,POLE,12050,-120.196112493000000,34.527504828700003
293,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,8,"35,2,58",N,"120,2,27",W,LOCATED 23 MILES ENE OF,SANTA MARIA,SANTA BARBARA,CA,N, , ,0.000000000000000,0.000000000000000, ,12050,-120.040812513000010,35.049504891500000
294,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,9,"34,54,22",N,"119,43,35",W,HIGHWAY 166 TO PERKINS ROAD,NEW CUYAMA,SANTA BARBARA,CA,N, ,1022383,15.000000000000000,18.000000000000000,POLE,12050,-119.726412450000000,34.906104895799999
295,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,10,"34,1,45",N,"119,47,4",W,LOCATED ON DEVILS PEAK,SANTA CRUZ ISLAND,SANTA BARBARA,CA,N, , ,0.000000000000000,0.000000000000000, ,12050,-119.784412385000000,34.029204800099997
296,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,11,"34,34,12",N,"120,21,11",W,HWY 1 AT EL JARO CREEK,LOMPOC,SANTA BARBARA,CA,N, ,1018752,15.000000000000000,18.000000000000000,POLE,12050,-120.353112522000000,34.570004823900000
297,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,12,"34,1,45",N,"119,47,4",W,DEVILS PEAK,SANTA CRUZ ISLAND,SANTA BARBARA,CA,N, , ,28.000000000000000,0.000000000000000, ,12050,-119.784412385000000,34.029204800099997
298,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,13,"34,51,55",N,"120,25,6",W,1125 Clark Ave.; Oak Knolls Shopping Cntr.,Santa Maria,SANTA BARBARA,CA,N, , ,12.000000000000000,0.000000000000000, ,12050,-120.418312558000000,34.865304849899999
299,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,14,"34,46,20",N,"120,19,40",W,3170 HWY 135,LOS ALMOS,SANTA BARBARA,CA,N, , ,5.000000000000000,0.000000000000000, ,12050,-120.327812535000010,34.772204846000001
300,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,15,"34,53,18",N,"119,48,47",W,MCPHERSON PEAK,NEW CUYAMA,SANTA BARBARA,CA,N, ,1011629,23.000000000000000,23.000000000000000,TOWER,12050,-119.813112463000000,34.888304888500002
301,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,17,"34,25,24",N,"119,31,19",W,4498 FOOTHILL ROAD,CARPINTERIA,SANTA BARBARA,CA,N, ,1018538,8.000000000000000,11.000000000000000,POLE,12050,-119.521912375000000,34.423304856700000
302,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,18,"34,24,46",N,"119,50,54",W,"STORKE TOWER, U.C. SANTA BARBARA",SANTA BARBARA,SANTA BARBARA,CA,N, , ,68.000000000000000,0.000000000000000, ,12050,-119.848312427000000,34.412804836900001
303,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,19,"34,36,30",N,"120,8,45",W,RIVE ROAD,SOLVANG,SOLANO,CA,N, ,1019138,5.000000000000000,8.000000000000000,POLE,12050,-120.145812492000000,34.608304839799999
304,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,20,"34,55,9",N,"120,25,9",W,2220 South Bradley Road & Highway 101,Santa Maria,SANTA BARBARA,CA,N, , ,10.699999999999999,10.699999999999999,B,12050,-120.419212563000000,34.919204855499999
305,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,21,"34,58,14",N,"120,34,14",W,4542 Tenth Street,Guadalupe,SANTA BARBARA,CA,N, , ,33.500000000000000,33.500000000000000,TANK,12050,-120.570612591000000,34.970604851700003
306,GTE MOBILNET OF SANTA BARBARA LIMITED PARTNERSHIP,KNKA409,22,"34,30,29",N,"120,13,22",W,1000' E OF HWYS 101 AND 1 INT,GAVIOTA,SANTA CLARA,CA,N, ,1000020,10.600000000000000,13.699999999999999,POLE,12050,-120.222812496000000,34.508104825300002
307,GTE MOBILNET OF CALIFORNIA LIMITED PARTNERSHIP,KNKA211,1,"37,6,37",N,"121,50,37",W,TOP OF LOMA PRIETA MOUNTAIN     (Loma Prieta 2 #8088),Los Gatos,SANTA CLARA,CA,N, ,1014625,61.000000000000000,64.599999999999994,TOWER,12154,-121.843613002000000,37.110304970500003
